time,temperature_2m_max,temperature_2m_min,precipitation_sum,city
2016-01-01,14.6,9.0,0.7,Cairo
2016-01-02,14.7,6.9,0.0,Cairo
2016-01-03,17.1,6.8,0.0,Cairo
2016-01-04,19.5,8.1,0.0,Cairo
2016-01-05,20.8,8.6,0.0,Cairo
2016-01-06,23.0,9.8,0.0,Cairo
2016-01-07,22.0,11.9,0.1,Cairo
2016-01-08,19.3,11.5,0.0,Cairo
2016-01-09,20.2,12.4,0.0,Cairo
2016-01-10,20.9,9.0,0.0,Cairo
2016-01-11,21.5,7.4,0.0,Cairo
2016-01-12,21.8,8.8,0.0,Cairo
2016-01-13,21.9,6.9,0.0,Cairo
2016-01-14,21.1,9.0,0.0,Cairo
2016-01-15,19.5,11.4,0.0,Cairo
2016-01-16,20.2,6.9,0.0,Cairo
2016-01-17,21.4,7.5,0.0,Cairo
2016-01-18,16.2,8.3,0.0,Cairo
2016-01-19,16.2,7.7,0.0,Cairo
2016-01-20,17.9,8.4,0.0,Cairo
2016-01-21,19.6,8.3,0.0,Cairo
2016-01-22,19.2,6.4,0.0,Cairo
2016-01-23,18.0,9.0,0.0,Cairo
2016-01-24,14.1,7.9,0.1,Cairo
2016-01-25,13.3,6.2,0.2,Cairo
2016-01-26,13.4,3.8,0.8,Cairo
2016-01-27,12.2,5.4,3.5,Cairo
2016-01-28,14.1,3.7,0.0,Cairo
2016-01-29,16.7,4.2,0.0,Cairo
2016-01-30,18.5,3.9,0.0,Cairo
2016-01-31,19.0,9.4,0.0,Cairo
2016-02-01,19.6,8.3,0.0,Cairo
2016-02-02,20.2,9.3,0.0,Cairo
2016-02-03,21.6,8.2,0.0,Cairo
2016-02-04,24.8,8.5,0.0,Cairo
2016-02-05,20.9,8.3,0.0,Cairo
2016-02-06,17.7,9.7,0.0,Cairo
2016-02-07,15.1,9.4,0.0,Cairo
2016-02-08,15.7,8.6,0.0,Cairo
2016-02-09,18.4,7.2,0.0,Cairo
2016-02-10,18.5,8.0,0.0,Cairo
2016-02-11,20.1,4.6,0.0,Cairo
2016-02-12,23.1,6.5,0.0,Cairo
2016-02-13,25.0,9.1,0.0,Cairo
2016-02-14,27.4,8.4,0.0,Cairo
2016-02-15,29.5,13.1,0.0,Cairo
2016-02-16,30.5,14.3,0.0,Cairo
2016-02-17,31.6,14.2,0.0,Cairo
2016-02-18,31.6,14.6,0.0,Cairo
2016-02-19,26.7,15.9,0.0,Cairo
2016-02-20,24.5,12.2,0.0,Cairo
2016-02-21,20.1,11.9,0.3,Cairo
2016-02-22,20.6,13.0,0.0,Cairo
2016-02-23,21.5,8.7,0.0,Cairo
2016-02-24,24.7,8.0,0.0,Cairo
2016-02-25,27.3,9.3,0.0,Cairo
2016-02-26,28.2,10.9,0.0,Cairo
2016-02-27,24.8,12.4,0.0,Cairo
2016-02-28,26.0,10.7,0.0,Cairo
2016-02-29,31.0,12.5,0.0,Cairo
2016-03-01,33.6,15.4,0.0,Cairo
2016-03-02,31.6,15.0,0.0,Cairo
2016-03-03,22.1,12.2,0.4,Cairo
2016-03-04,23.7,9.0,0.0,Cairo
2016-03-05,25.7,9.7,0.0,Cairo
2016-03-06,23.5,10.0,0.0,Cairo
2016-03-07,24.5,9.4,0.0,Cairo
2016-03-08,27.6,10.4,0.0,Cairo
2016-03-09,31.4,15.4,0.0,Cairo
2016-03-10,27.3,11.7,0.0,Cairo
2016-03-11,28.3,14.8,0.0,Cairo
